geography,year,mode,total_crashes,fatal_crashes,injury_or_fatal_crashes,population,crashes_per_100k,fatal_injury_per_100k,pct_fatal,pct_fatal_or_injury
Connecticut (statewide),2015,Cars,109262,203,24408,3605944,3030.052602037081,676.8823919617165,0.18579194962567042,22.33896505646977
Connecticut (statewide),2015,Pedestrians,1367,47,1221,3605944,37.90962921221184,33.86075879159521,3.4381858083394294,89.31967812728602
Connecticut (statewide),2015,Bicyclists,540,3,446,3605944,14.975274158445057,12.368467175308325,0.5555555555555556,82.5925925925926
Connecticut (statewide),2016,Cars,113771,223,26143,3605944,3155.096141260097,724.9973931930168,0.19600776999411096,22.978614937022616
Connecticut (statewide),2016,Pedestrians,1598,67,1446,3605944,44.31571871332444,40.100456357613986,4.192740926157698,90.4881101376721
Connecticut (statewide),2016,Bicyclists,566,7,457,3605944,15.696305877185003,12.673519056313685,1.2367491166077738,80.74204946996466
Connecticut (statewide),2017,Cars,113546,207,25761,3605944,3148.8564436940787,714.4037733253762,0.18230496891127823,22.68772127595864
Connecticut (statewide),2017,Pedestrians,1555,54,1360,3605944,43.1232431784853,37.7155052879357,3.4726688102893895,87.45980707395499
Connecticut (statewide),2017,Bicyclists,547,3,447,3605944,15.169398082721196,12.396199164490628,0.5484460694698354,81.71846435100548
Connecticut (statewide),2018,Cars,112226,217,25719,3605944,3112.2502179734347,713.2390297797193,0.19335982749095576,22.917149323686132
Connecticut (statewide),2018,Pedestrians,1495,63,1330,3605944,41.45932382754696,36.88354561246653,4.214046822742475,88.96321070234113
Connecticut (statewide),2018,Bicyclists,435,1,352,3605944,12.063415294302962,9.761660192171592,0.22988505747126436,80.91954022988506
Connecticut (statewide),2019,Cars,110529,181,25556,3605944,3065.189032331062,708.7187155430034,0.16375792778365858,23.121533715133584
Connecticut (statewide),2019,Pedestrians,1583,54,1396,3605944,43.89973887558986,38.713856898498705,3.41124447252053,88.18698673404927
Connecticut (statewide),2019,Bicyclists,499,3,413,3605944,13.838262601970525,11.453311532292238,0.6012024048096193,82.76553106212425
Connecticut (statewide),2020,Cars,82218,218,20183,3605944,2280.068686590807,559.7147376664751,0.26514875088180206,24.548152472694543
Connecticut (statewide),2020,Pedestrians,1142,61,1013,3605944,31.669931646193064,28.092505041675633,5.341506129597198,88.70402802101576
Connecticut (statewide),2020,Bicyclists,431,6,355,3605944,11.95248733757374,9.844856159718509,1.3921113689095126,82.36658932714617
Connecticut (statewide),2021,Cars,99607,238,23692,3605944,2762.3002464819197,657.0262877071857,0.23893903038943046,23.785476924312547
Connecticut (statewide),2021,Pedestrians,1182,53,1078,3605944,32.77921121348529,29.8950843385255,4.483925549915398,91.20135363790186
Connecticut (statewide),2021,Bicyclists,370,3,299,3605944,10.260835997453094,8.291864765509393,0.8108108108108109,80.8108108108108
Connecticut (statewide),2022,Cars,101100,261,23770,3605944,2803.704106331102,659.1893828634055,0.258160237388724,23.51137487636004
Connecticut (statewide),2022,Pedestrians,1372,73,1253,3605944,38.04828915812337,34.74818244542899,5.320699708454811,91.3265306122449
Connecticut (statewide),2022,Bicyclists,330,4,278,3605944,9.151556430160868,7.709492992680973,1.2121212121212122,84.24242424242424
Connecticut (statewide),2023,Cars,98712,232,23120,3605944,2737.480116163756,641.1635898949069,0.23502714968798122,23.421671124078124
Connecticut (statewide),2023,Pedestrians,1301,54,1145,3605944,36.07931792617966,31.75312761373998,4.15065334358186,88.00922367409684
Connecticut (statewide),2023,Bicyclists,424,4,352,3605944,11.7583634132976,9.761660192171592,0.9433962264150944,83.01886792452831
Connecticut (statewide),2024,Cars,102266,226,22900,3605944,2836.039605717671,635.0625522747996,0.22099231416110926,22.392584045528327
Connecticut (statewide),2024,Pedestrians,1518,61,1356,3605944,42.09715957873999,37.60457733120648,4.0184453227931485,89.32806324110672
Connecticut (statewide),2024,Bicyclists,476,4,362,3605944,13.200426850777495,10.038980083994648,0.8403361344537815,76.05042016806722
Connecticut (statewide),2025,Cars,101598,172,22092,3605944,2817.5146369438903,612.6551050154966,0.16929467115494398,21.744522529971064
Connecticut (statewide),2025,Pedestrians,1375,55,1232,3605944,38.13148512567028,34.16581067260057,4,89.60000000000001
Connecticut (statewide),2025,Bicyclists,461,5,351,3605944,12.784447013042909,9.733928202989286,1.0845986984815619,76.13882863340564
New Haven,2015,Cars,7956,7,1792,134023,5936.29451661282,1337.0839333547226,0.08798391151332328,22.52388134741076
New Haven,2015,Pedestrians,135,0,116,134023,100.72897935428993,86.55230818590839,0,85.92592592592592
New Haven,2015,Bicyclists,89,0,69,134023,66.4065123150504,51.483700558859304,0,77.52808988764045
New Haven,2016,Cars,7532,12,1730,134023,5619.930907381568,1290.8232169105304,0.15932023366967604,22.96866702071163
New Haven,2016,Pedestrians,176,3,160,134023,131.3207434544817,119.38249404952882,1.7045454545454544,90.9090909090909
New Haven,2016,Bicyclists,81,0,62,134023,60.437387612573964,46.26071644419241,0,76.5432098765432
New Haven,2017,Cars,7558,8,1754,134023,5639.330562664617,1308.7305910179596,0.10584810796507012,23.207197671341625
New Haven,2017,Pedestrians,177,2,152,134023,132.06688404229126,113.41336934705237,1.1299435028248588,85.87570621468926
New Haven,2017,Bicyclists,99,1,79,134023,73.86791819314595,58.94510643695485,1.0101010101010102,79.7979797979798
New Haven,2018,Cars,7153,16,1820,134023,5337.143624601747,1357.9758698133903,0.22368237103313296,25.443869705018873
