geography,year,crash_type,total_crashes,fatal_crashes,fatal_pct
Five largest cities,2023,Pedestrian/vehicle,569,22,3.8664323374340945
Five largest cities,2023,Vehicle/vehicle,25777,35,0.1357799588780696
Five largest cities,2024,Cyclist/vehicle,163,4,2.4539877300613497
Five largest cities,2024,Pedestrian/vehicle,663,20,3.0165912518853695
Five largest cities,2024,Vehicle/vehicle,25989,40,0.15391127015275693
Five largest cities,2025,Cyclist/vehicle,163,1,0.6134969325153374
Five largest cities,2025,Pedestrian/vehicle,607,14,2.3064250411861615
Five largest cities,2025,Vehicle/vehicle,26442,28,0.10589214129037139
Hartford,2015,Cyclist/vehicle,48,1,2.083333333333333
Hartford,2015,Pedestrian/vehicle,138,3,2.1739130434782608
Hartford,2015,Vehicle/vehicle,6580,5,0.07598784194528875
Hartford,2016,Cyclist/vehicle,57,0,0
Hartford,2016,Pedestrian/vehicle,177,2,1.1299435028248588
Hartford,2016,Vehicle/vehicle,7402,8,0.10807889759524453
Hartford,2017,Cyclist/vehicle,42,0,0
Hartford,2017,Pedestrian/vehicle,166,1,0.6024096385542169
Hartford,2017,Vehicle/vehicle,6796,9,0.13243084167157151
Hartford,2018,Cyclist/vehicle,40,0,0
Hartford,2018,Pedestrian/vehicle,153,9,5.88235294117647
Hartford,2018,Vehicle/vehicle,6795,12,0.17660044150110377
Hartford,2019,Cyclist/vehicle,50,0,0
Hartford,2019,Pedestrian/vehicle,153,3,1.9607843137254901
Hartford,2019,Vehicle/vehicle,6924,12,0.17331022530329288
Hartford,2020,Cyclist/vehicle,25,1,4
Hartford,2020,Pedestrian/vehicle,126,3,2.380952380952381
Hartford,2020,Vehicle/vehicle,5374,13,0.24190547078526237
Hartford,2021,Cyclist/vehicle,7,0,0
Hartford,2021,Pedestrian/vehicle,92,5,5.434782608695652
Hartford,2021,Vehicle/vehicle,5343,12,0.22459292532285235
Hartford,2022,Cyclist/vehicle,15,0,0
Hartford,2022,Pedestrian/vehicle,100,7,7.000000000000001
Hartford,2022,Vehicle/vehicle,5227,8,0.15305146355462024
Hartford,2023,Cyclist/vehicle,21,0,0
Hartford,2023,Pedestrian/vehicle,125,6,4.8
Hartford,2023,Vehicle/vehicle,5368,5,0.09314456035767511
Hartford,2024,Cyclist/vehicle,33,2,6.0606060606060606
Hartford,2024,Pedestrian/vehicle,158,5,3.1645569620253164
Hartford,2024,Vehicle/vehicle,5915,9,0.1521555367709214
Hartford,2025,Cyclist/vehicle,34,1,2.941176470588235
Hartford,2025,Pedestrian/vehicle,155,4,2.5806451612903225
Hartford,2025,Vehicle/vehicle,6233,10,0.16043638697256538
New Haven,2015,Cyclist/vehicle,66,0,0
New Haven,2015,Pedestrian/vehicle,99,0,0
New Haven,2015,Vehicle/vehicle,6298,7,0.11114639568116863
New Haven,2016,Cyclist/vehicle,69,0,0
New Haven,2016,Pedestrian/vehicle,143,3,2.097902097902098
New Haven,2016,Vehicle/vehicle,6106,12,0.1965280052407468
New Haven,2017,Cyclist/vehicle,92,1,1.0869565217391304
New Haven,2017,Pedestrian/vehicle,162,2,1.2345679012345678
New Haven,2017,Vehicle/vehicle,5917,8,0.13520365049856345
New Haven,2018,Cyclist/vehicle,89,0,0
New Haven,2018,Pedestrian/vehicle,133,3,2.2556390977443606
New Haven,2018,Vehicle/vehicle,7147,16,0.22387015530992024
New Haven,2019,Cyclist/vehicle,85,0,0
New Haven,2019,Pedestrian/vehicle,202,8,3.9603960396039604
New Haven,2019,Vehicle/vehicle,7269,9,0.12381345439537762
New Haven,2020,Cyclist/vehicle,61,2,3.278688524590164
New Haven,2020,Pedestrian/vehicle,133,9,6.7669172932330826
New Haven,2020,Vehicle/vehicle,5545,6,0.10820559062218214
New Haven,2021,Cyclist/vehicle,42,1,2.380952380952381
New Haven,2021,Pedestrian/vehicle,139,10,7.1942446043165464
New Haven,2021,Vehicle/vehicle,6600,12,0.18181818181818182
New Haven,2022,Cyclist/vehicle,43,1,2.3255813953488373
New Haven,2022,Pedestrian/vehicle,167,4,2.3952095808383236
New Haven,2022,Vehicle/vehicle,6737,13,0.19296422740092029
New Haven,2023,Cyclist/vehicle,44,0,0
New Haven,2023,Pedestrian/vehicle,158,7,4.430379746835443
New Haven,2023,Vehicle/vehicle,6617,8,0.12090071029167296
New Haven,2024,Cyclist/vehicle,64,1,1.5625
