town,year,group,deaths
Mansfield,2019,Driver/Passenger,2
Mansfield,2020,Driver/Passenger,2
Mansfield,2021,Driver/Passenger,1
Mansfield,2021,Pedestrian/Cyclist/Other,1
Mansfield,2022,Driver/Passenger,2
Mansfield,2023,Driver/Passenger,1
Mansfield,2023,Pedestrian/Cyclist/Other,2
Mansfield,2025,Driver/Passenger,1
Marlborough,2015,Driver/Passenger,1
Marlborough,2017,Driver/Passenger,1
Marlborough,2018,Driver/Passenger,1
Marlborough,2019,Driver/Passenger,1
Meriden,2015,Driver/Passenger,2
Meriden,2015,Pedestrian/Cyclist/Other,2
Meriden,2016,Driver/Passenger,4
Meriden,2016,Pedestrian/Cyclist/Other,2
Meriden,2017,Driver/Passenger,4
Meriden,2017,Pedestrian/Cyclist/Other,1
Meriden,2018,Driver/Passenger,4
Meriden,2018,Pedestrian/Cyclist/Other,1
Meriden,2019,Driver/Passenger,2
Meriden,2019,Pedestrian/Cyclist/Other,1
Meriden,2020,Driver/Passenger,6
Meriden,2020,Pedestrian/Cyclist/Other,2
Meriden,2021,Driver/Passenger,5
Meriden,2021,Pedestrian/Cyclist/Other,1
Meriden,2022,Driver/Passenger,4
Meriden,2022,Pedestrian/Cyclist/Other,1
Meriden,2023,Driver/Passenger,6
Meriden,2023,Pedestrian/Cyclist/Other,1
Meriden,2024,Driver/Passenger,2
Meriden,2024,Pedestrian/Cyclist/Other,1
Meriden,2025,Driver/Passenger,2
Meriden,2025,Pedestrian/Cyclist/Other,1
Middlebury,2015,Driver/Passenger,2
Middlebury,2016,Driver/Passenger,1
Middlebury,2017,Driver/Passenger,1
Middlebury,2018,Driver/Passenger,2
Middlebury,2019,Driver/Passenger,2
Middlebury,2020,Driver/Passenger,2
Middlebury,2020,Pedestrian/Cyclist/Other,1
Middlebury,2021,Driver/Passenger,1
Middlebury,2022,Driver/Passenger,2
Middlebury,2023,Driver/Passenger,2
Middlebury,2024,Driver/Passenger,1
Middlebury,2025,Driver/Passenger,1
Middlefield,2015,Driver/Passenger,1
Middlefield,2022,Driver/Passenger,1
Middlefield,2025,Driver/Passenger,1
Middletown,2015,Driver/Passenger,1
Middletown,2015,Pedestrian/Cyclist/Other,1
Middletown,2016,Driver/Passenger,2
Middletown,2016,Pedestrian/Cyclist/Other,1
Middletown,2017,Driver/Passenger,1
Middletown,2018,Driver/Passenger,2
Middletown,2019,Driver/Passenger,1
Middletown,2019,Pedestrian/Cyclist/Other,1
Middletown,2020,Driver/Passenger,3
Middletown,2020,Pedestrian/Cyclist/Other,2
Middletown,2021,Driver/Passenger,3
Middletown,2022,Driver/Passenger,3
Middletown,2023,Driver/Passenger,7
Middletown,2023,Pedestrian/Cyclist/Other,1
Middletown,2024,Driver/Passenger,3
Middletown,2025,Driver/Passenger,1
Middletown,2025,Pedestrian/Cyclist/Other,1
Milford,2016,Driver/Passenger,3
Milford,2016,Pedestrian/Cyclist/Other,1
Milford,2017,Driver/Passenger,2
Milford,2018,Driver/Passenger,2
Milford,2018,Pedestrian/Cyclist/Other,1
Milford,2019,Driver/Passenger,3
Milford,2020,Pedestrian/Cyclist/Other,1
Milford,2021,Driver/Passenger,4
Milford,2021,Pedestrian/Cyclist/Other,2
Milford,2022,Driver/Passenger,7
Milford,2022,Pedestrian/Cyclist/Other,2
Milford,2023,Driver/Passenger,4
Milford,2023,Pedestrian/Cyclist/Other,1
Milford,2024,Driver/Passenger,3
Milford,2025,Driver/Passenger,3
Milford,2025,Pedestrian/Cyclist/Other,1
Monroe,2016,Driver/Passenger,3
Monroe,2019,Driver/Passenger,1
Monroe,2022,Driver/Passenger,1
Montville,2015,Driver/Passenger,4
Montville,2016,Driver/Passenger,2
Montville,2018,Driver/Passenger,1
Montville,2021,Driver/Passenger,2
Montville,2022,Pedestrian/Cyclist/Other,2
Montville,2023,Driver/Passenger,1
Montville,2024,Driver/Passenger,2
Montville,2025,Driver/Passenger,3
Morris,2021,Driver/Passenger,1
Naugatuck,2016,Pedestrian/Cyclist/Other,1
Naugatuck,2017,Driver/Passenger,1
Naugatuck,2018,Driver/Passenger,1
Naugatuck,2020,Driver/Passenger,1
Naugatuck,2021,Driver/Passenger,1
Naugatuck,2022,Driver/Passenger,1
Naugatuck,2023,Driver/Passenger,1
Naugatuck,2025,Driver/Passenger,1
Naugatuck,2025,Pedestrian/Cyclist/Other,1
New Britain,2015,Driver/Passenger,1
New Britain,2015,Pedestrian/Cyclist/Other,1
New Britain,2016,Driver/Passenger,4
New Britain,2016,Pedestrian/Cyclist/Other,2
New Britain,2017,Driver/Passenger,3
New Britain,2018,Driver/Passenger,4
New Britain,2018,Pedestrian/Cyclist/Other,4
New Britain,2019,Driver/Passenger,1
New Britain,2020,Driver/Passenger,5
New Britain,2020,Pedestrian/Cyclist/Other,1
New Britain,2021,Driver/Passenger,2
New Britain,2021,Pedestrian/Cyclist/Other,1
New Britain,2022,Driver/Passenger,2
New Britain,2022,Pedestrian/Cyclist/Other,3
New Britain,2023,Driver/Passenger,3
New Britain,2023,Pedestrian/Cyclist/Other,2
New Britain,2024,Driver/Passenger,4
New Britain,2024,Pedestrian/Cyclist/Other,2
New Britain,2025,Driver/Passenger,2
New Canaan,2018,Driver/Passenger,2
New Canaan,2019,Pedestrian/Cyclist/Other,1
New Canaan,2025,Driver/Passenger,1
New Fairfield,2015,Driver/Passenger,1
New Fairfield,2016,Driver/Passenger,2
New Fairfield,2017,Driver/Passenger,1
New Fairfield,2023,Driver/Passenger,1
New Fairfield,2025,Driver/Passenger,1
New Hartford,2016,Driver/Passenger,1
New Hartford,2016,Pedestrian/Cyclist/Other,1
New Hartford,2017,Driver/Passenger,1
New Hartford,2017,Pedestrian/Cyclist/Other,2
New Hartford,2018,Driver/Passenger,2
New Hartford,2019,Pedestrian/Cyclist/Other,1
New Hartford,2020,Driver/Passenger,1
New Hartford,2022,Driver/Passenger,2
New Hartford,2023,Driver/Passenger,1
New Hartford,2024,Driver/Passenger,2
New Haven,2015,Driver/Passenger,7
New Haven,2016,Driver/Passenger,12
New Haven,2016,Pedestrian/Cyclist/Other,3
New Haven,2017,Driver/Passenger,10
New Haven,2017,Pedestrian/Cyclist/Other,3
New Haven,2018,Driver/Passenger,16
New Haven,2018,Pedestrian/Cyclist/Other,3
New Haven,2019,Driver/Passenger,9
New Haven,2019,Pedestrian/Cyclist/Other,9
New Haven,2020,Driver/Passenger,7
New Haven,2020,Pedestrian/Cyclist/Other,11
New Haven,2021,Driver/Passenger,12
New Haven,2021,Pedestrian/Cyclist/Other,11
New Haven,2022,Driver/Passenger,14
New Haven,2022,Pedestrian/Cyclist/Other,5
New Haven,2023,Driver/Passenger,8
New Haven,2023,Pedestrian/Cyclist/Other,7
New Haven,2024,Driver/Passenger,10
New Haven,2024,Pedestrian/Cyclist/Other,5
New Haven,2025,Driver/Passenger,6
New Haven,2025,Pedestrian/Cyclist/Other,6
New London,2015,Driver/Passenger,1
New London,2015,Pedestrian/Cyclist/Other,1
New London,2020,Pedestrian/Cyclist/Other,1
New London,2021,Driver/Passenger,1
New London,2023,Driver/Passenger,1
New London,2024,Driver/Passenger,3
New London,2024,Pedestrian/Cyclist/Other,1
New London,2025,Driver/Passenger,1
New Milford,2015,Driver/Passenger,2
New Milford,2015,Pedestrian/Cyclist/Other,1
New Milford,2016,Driver/Passenger,2
New Milford,2017,Pedestrian/Cyclist/Other,1
New Milford,2018,Driver/Passenger,1
New Milford,2019,Driver/Passenger,1
New Milford,2019,Pedestrian/Cyclist/Other,1
New Milford,2020,Driver/Passenger,3
New Milford,2021,Pedestrian/Cyclist/Other,1
New Milford,2022,Driver/Passenger,3
New Milford,2022,Pedestrian/Cyclist/Other,2
New Milford,2023,Driver/Passenger,6
New Milford,2024,Driver/Passenger,2
New Milford,2024,Pedestrian/Cyclist/Other,1
Newington,2015,Driver/Passenger,3
Newington,2015,Pedestrian/Cyclist/Other,2
Newington,2016,Driver/Passenger,1
Newington,2016,Pedestrian/Cyclist/Other,1
Newington,2018,Driver/Passenger,1
Newington,2018,Pedestrian/Cyclist/Other,1
Newington,2019,Driver/Passenger,1
Newington,2020,Driver/Passenger,1
Newington,2021,Driver/Passenger,1
Newington,2021,Pedestrian/Cyclist/Other,1
Newington,2022,Driver/Passenger,2
Newington,2024,Driver/Passenger,1
Newington,2024,Pedestrian/Cyclist/Other,1
Newington,2025,Driver/Passenger,5
Newtown,2016,Driver/Passenger,1
Newtown,2017,Driver/Passenger,5
Newtown,2017,Pedestrian/Cyclist/Other,1
Newtown,2018,Driver/Passenger,1
Newtown,2019,Driver/Passenger,2
Newtown,2020,Driver/Passenger,2
Newtown,2021,Driver/Passenger,2
Newtown,2021,Pedestrian/Cyclist/Other,1
Newtown,2022,Driver/Passenger,2
Newtown,2023,Driver/Passenger,2
Newtown,2024,Driver/Passenger,2
Newtown,2024,Pedestrian/Cyclist/Other,1
Newtown,2025,Driver/Passenger,2
Newtown,2025,Pedestrian/Cyclist/Other,1
Norfolk,2018,Driver/Passenger,1
Norfolk,2022,Driver/Passenger,1
Norfolk,2024,Driver/Passenger,1
Norfolk,2025,Driver/Passenger,1
North Branford,2015,Driver/Passenger,1
North Branford,2016,Driver/Passenger,2
North Branford,2018,Driver/Passenger,4
North Branford,2019,Driver/Passenger,1
North Branford,2020,Driver/Passenger,2
North Branford,2021,Driver/Passenger,3
North Branford,2021,Pedestrian/Cyclist/Other,1
North Branford,2022,Driver/Passenger,1
North Branford,2022,Pedestrian/Cyclist/Other,1
North Branford,2024,Pedestrian/Cyclist/Other,1
North Branford,2025,Driver/Passenger,2
North Canaan,2015,Driver/Passenger,1
North Canaan,2015,Pedestrian/Cyclist/Other,1
North Canaan,2016,Driver/Passenger,1
North Canaan,2018,Driver/Passenger,1
North Canaan,2019,Driver/Passenger,1
North Canaan,2020,Driver/Passenger,1
North Canaan,2023,Driver/Passenger,1
North Haven,2015,Driver/Passenger,1
North Haven,2015,Pedestrian/Cyclist/Other,1
North Haven,2016,Driver/Passenger,5
North Haven,2017,Driver/Passenger,3
North Haven,2018,Driver/Passenger,3
North Haven,2018,Pedestrian/Cyclist/Other,2
North Haven,2019,Driver/Passenger,1
North Haven,2019,Pedestrian/Cyclist/Other,1
North Haven,2020,Driver/Passenger,3
North Haven,2021,Driver/Passenger,3
North Haven,2022,Driver/Passenger,6
North Haven,2022,Pedestrian/Cyclist/Other,1
North Haven,2023,Driver/Passenger,2
North Haven,2024,Driver/Passenger,2
North Haven,2024,Pedestrian/Cyclist/Other,1
North Haven,2025,Driver/Passenger,4
North Haven,2025,Pedestrian/Cyclist/Other,1
North Stonington,2015,Driver/Passenger,2
North Stonington,2017,Pedestrian/Cyclist/Other,1
North Stonington,2018,Driver/Passenger,3
North Stonington,2018,Pedestrian/Cyclist/Other,1
North Stonington,2019,Driver/Passenger,5
North Stonington,2020,Driver/Passenger,1
North Stonington,2021,Driver/Passenger,2
North Stonington,2022,Driver/Passenger,1
Norwalk,2015,Driver/Passenger,7
Norwalk,2016,Pedestrian/Cyclist/Other,3
Norwalk,2017,Driver/Passenger,1
Norwalk,2017,Pedestrian/Cyclist/Other,4
Norwalk,2018,Driver/Passenger,5
Norwalk,2018,Pedestrian/Cyclist/Other,1
Norwalk,2019,Pedestrian/Cyclist/Other,1
Norwalk,2020,Driver/Passenger,4
Norwalk,2020,Pedestrian/Cyclist/Other,1
Norwalk,2021,Driver/Passenger,1
Norwalk,2022,Driver/Passenger,2
Norwalk,2022,Pedestrian/Cyclist/Other,1
Norwalk,2023,Driver/Passenger,3
Norwalk,2024,Driver/Passenger,3
Norwalk,2024,Pedestrian/Cyclist/Other,1
Norwalk,2025,Driver/Passenger,4
Norwalk,2025,Pedestrian/Cyclist/Other,3
Norwich,2015,Driver/Passenger,3
Norwich,2016,Driver/Passenger,3
Norwich,2016,Pedestrian/Cyclist/Other,1
Norwich,2017,Driver/Passenger,4
Norwich,2018,Driver/Passenger,2
Norwich,2019,Driver/Passenger,5
Norwich,2020,Driver/Passenger,5
Norwich,2021,Driver/Passenger,1
Norwich,2022,Driver/Passenger,3
Norwich,2022,Pedestrian/Cyclist/Other,1
Norwich,2023,Driver/Passenger,3
Norwich,2024,Driver/Passenger,1
Old Lyme,2015,Driver/Passenger,3
Old Lyme,2016,Driver/Passenger,3
Old Lyme,2016,Pedestrian/Cyclist/Other,1
Old Lyme,2017,Driver/Passenger,3
Old Lyme,2017,Pedestrian/Cyclist/Other,1
Old Lyme,2019,Driver/Passenger,1
Old Lyme,2020,Driver/Passenger,1
Old Lyme,2022,Driver/Passenger,1
Old Lyme,2023,Driver/Passenger,2
Old Saybrook,2015,Driver/Passenger,1
Old Saybrook,2016,Driver/Passenger,1
Old Saybrook,2016,Pedestrian/Cyclist/Other,1
Old Saybrook,2019,Driver/Passenger,1
Old Saybrook,2025,Driver/Passenger,2
Orange,2015,Driver/Passenger,1
Orange,2016,Driver/Passenger,1
Orange,2016,Pedestrian/Cyclist/Other,1
Orange,2017,Driver/Passenger,2
Orange,2018,Driver/Passenger,3
Orange,2018,Pedestrian/Cyclist/Other,1
Orange,2019,Driver/Passenger,2
Orange,2019,Pedestrian/Cyclist/Other,1
Orange,2020,Driver/Passenger,1
Orange,2021,Driver/Passenger,2
Orange,2022,Pedestrian/Cyclist/Other,1
Orange,2023,Driver/Passenger,2
Orange,2023,Pedestrian/Cyclist/Other,1
Orange,2025,Driver/Passenger,2
Oxford,2016,Driver/Passenger,2
Oxford,2019,Driver/Passenger,1
Oxford,2023,Pedestrian/Cyclist/Other,1
Oxford,2024,Driver/Passenger,1
Oxford,2025,Driver/Passenger,1
Plainfield,2015,Driver/Passenger,2
Plainfield,2015,Pedestrian/Cyclist/Other,1
Plainfield,2016,Driver/Passenger,1
Plainfield,2017,Driver/Passenger,1
Plainfield,2018,Driver/Passenger,2
Plainfield,2019,Driver/Passenger,2
Plainfield,2020,Driver/Passenger,1
Plainfield,2021,Driver/Passenger,1
Plainfield,2022,Driver/Passenger,1
Plainfield,2023,Driver/Passenger,1
Plainfield,2025,Driver/Passenger,1
Plainville,2015,Driver/Passenger,1
Plainville,2015,Pedestrian/Cyclist/Other,1
Plainville,2016,Driver/Passenger,1
Plainville,2017,Driver/Passenger,1
Plainville,2017,Pedestrian/Cyclist/Other,1
Plainville,2018,Driver/Passenger,2
Plainville,2019,Driver/Passenger,4
Plainville,2020,Pedestrian/Cyclist/Other,1
Plainville,2021,Driver/Passenger,1
Plainville,2021,Pedestrian/Cyclist/Other,2
Plainville,2022,Driver/Passenger,6
Plainville,2022,Pedestrian/Cyclist/Other,1
Plainville,2024,Driver/Passenger,1
Plainville,2025,Pedestrian/Cyclist/Other,1
Plymouth,2015,Driver/Passenger,2
Plymouth,2017,Driver/Passenger,1
Plymouth,2018,Driver/Passenger,1
Plymouth,2022,Driver/Passenger,1
Plymouth,2023,Driver/Passenger,1
Plymouth,2024,Driver/Passenger,1
Pomfret,2017,Pedestrian/Cyclist/Other,1
Pomfret,2018,Driver/Passenger,1
Pomfret,2019,Driver/Passenger,1
Pomfret,2020,Driver/Passenger,2
Pomfret,2021,Driver/Passenger,2
Pomfret,2023,Driver/Passenger,1
Pomfret,2025,Driver/Passenger,2
Portland,2015,Driver/Passenger,2
Portland,2016,Driver/Passenger,2
Portland,2017,Driver/Passenger,2
Portland,2018,Driver/Passenger,1
Portland,2020,Driver/Passenger,1
Portland,2023,Driver/Passenger,1
Portland,2024,Pedestrian/Cyclist/Other,1
Portland,2025,Driver/Passenger,1
Preston,2015,Pedestrian/Cyclist/Other,1
Preston,2016,Driver/Passenger,3
Preston,2016,Pedestrian/Cyclist/Other,1
Preston,2017,Driver/Passenger,1
Preston,2018,Driver/Passenger,1
Preston,2019,Driver/Passenger,2
Preston,2020,Driver/Passenger,1
Preston,2021,Pedestrian/Cyclist/Other,1
Preston,2023,Driver/Passenger,2
Preston,2024,Driver/Passenger,2
Prospect,2016,Driver/Passenger,1
Prospect,2017,Driver/Passenger,1
Prospect,2018,Driver/Passenger,2
Prospect,2019,Driver/Passenger,1
Prospect,2020,Driver/Passenger,1
Prospect,2022,Driver/Passenger,1
Prospect,2025,Driver/Passenger,4
Putnam,2015,Driver/Passenger,2
Putnam,2017,Driver/Passenger,3
Putnam,2020,Driver/Passenger,3
Putnam,2023,Driver/Passenger,1
Putnam,2024,Pedestrian/Cyclist/Other,1
Redding,2022,Driver/Passenger,1
Redding,2023,Driver/Passenger,1
Ridgefield,2020,Driver/Passenger,2
Ridgefield,2021,Driver/Passenger,2
Ridgefield,2023,Driver/Passenger,1
Ridgefield,2024,Driver/Passenger,2
Rocky Hill,2016,Driver/Passenger,4
Rocky Hill,2016,Pedestrian/Cyclist/Other,1
Rocky Hill,2017,Driver/Passenger,4
Rocky Hill,2018,Driver/Passenger,1
Rocky Hill,2019,Driver/Passenger,2
Rocky Hill,2020,Driver/Passenger,1
Rocky Hill,2020,Pedestrian/Cyclist/Other,1
Rocky Hill,2021,Driver/Passenger,1
Rocky Hill,2022,Driver/Passenger,1
Rocky Hill,2023,Driver/Passenger,2
Rocky Hill,2024,Driver/Passenger,4
Rocky Hill,2025,Pedestrian/Cyclist/Other,1
Roxbury,2021,Driver/Passenger,2
Salem,2017,Driver/Passenger,1
Salem,2019,Driver/Passenger,1
Salem,2021,Pedestrian/Cyclist/Other,1
Salem,2023,Driver/Passenger,1
Salem,2023,Pedestrian/Cyclist/Other,1
Salem,2024,Driver/Passenger,1
Salisbury,2016,Driver/Passenger,2
Salisbury,2017,Pedestrian/Cyclist/Other,1
Salisbury,2018,Driver/Passenger,4
Salisbury,2022,Driver/Passenger,1
Salisbury,2023,Driver/Passenger,4
Scotland,2019,Driver/Passenger,2
Scotland,2022,Driver/Passenger,1
Seymour,2016,Driver/Passenger,1
Seymour,2017,Driver/Passenger,1
Seymour,2019,Driver/Passenger,1
Seymour,2020,Driver/Passenger,2
Seymour,2021,Driver/Passenger,4
Seymour,2021,Pedestrian/Cyclist/Other,2
Seymour,2022,Driver/Passenger,1
Seymour,2023,Driver/Passenger,2
Seymour,2025,Driver/Passenger,2
Sharon,2018,Driver/Passenger,1
Sharon,2019,Driver/Passenger,1
Sharon,2020,Driver/Passenger,1
Sharon,2021,Driver/Passenger,1
Sharon,2025,Driver/Passenger,1
Shelton,2015,Driver/Passenger,6
Shelton,2016,Driver/Passenger,5
Shelton,2016,Pedestrian/Cyclist/Other,2
Shelton,2017,Driver/Passenger,2
Shelton,2017,Pedestrian/Cyclist/Other,1
Shelton,2018,Driver/Passenger,2
Shelton,2019,Driver/Passenger,1
Shelton,2020,Driver/Passenger,4
Shelton,2021,Driver/Passenger,4
Shelton,2022,Driver/Passenger,4
Shelton,2023,Driver/Passenger,5
Shelton,2023,Pedestrian/Cyclist/Other,1
Shelton,2024,Driver/Passenger,4
Shelton,2024,Pedestrian/Cyclist/Other,2
Shelton,2025,Driver/Passenger,3
Sherman,2015,Driver/Passenger,1
Sherman,2016,Pedestrian/Cyclist/Other,1
Simsbury,2015,Driver/Passenger,2
Simsbury,2016,Driver/Passenger,1
Simsbury,2017,Driver/Passenger,1
Simsbury,2019,Driver/Passenger,1
Simsbury,2020,Driver/Passenger,2
Simsbury,2021,Driver/Passenger,1
Simsbury,2022,Driver/Passenger,1
Simsbury,2023,Pedestrian/Cyclist/Other,1
Simsbury,2024,Driver/Passenger,1
Simsbury,2025,Driver/Passenger,1
Somers,2016,Driver/Passenger,1
Somers,2016,Pedestrian/Cyclist/Other,1
Somers,2017,Driver/Passenger,3
Somers,2020,Driver/Passenger,1
Somers,2021,Driver/Passenger,1
Somers,2025,Driver/Passenger,4
South Windsor,2020,Driver/Passenger,1
South Windsor,2021,Driver/Passenger,3
South Windsor,2022,Driver/Passenger,3
South Windsor,2023,Driver/Passenger,3
Southbury,2015,Driver/Passenger,2
Southbury,2016,Driver/Passenger,6
Southbury,2018,Driver/Passenger,1
Southbury,2019,Driver/Passenger,3
Southbury,2020,Driver/Passenger,1
Southbury,2021,Driver/Passenger,3
Southbury,2021,Pedestrian/Cyclist/Other,2
Southbury,2022,Driver/Passenger,1
Southbury,2023,Driver/Passenger,1
Southbury,2024,Driver/Passenger,1
Southbury,2025,Driver/Passenger,3
Southbury,2025,Pedestrian/Cyclist/Other,1
Southington,2015,Driver/Passenger,4
Southington,2015,Pedestrian/Cyclist/Other,1
Southington,2016,Driver/Passenger,4
Southington,2016,Pedestrian/Cyclist/Other,1
Southington,2017,Driver/Passenger,2
Southington,2018,Driver/Passenger,2
Southington,2019,Driver/Passenger,1
Southington,2020,Driver/Passenger,6
Southington,2021,Driver/Passenger,7
Southington,2021,Pedestrian/Cyclist/Other,1
Southington,2022,Driver/Passenger,4
Southington,2022,Pedestrian/Cyclist/Other,1
Southington,2023,Driver/Passenger,3
Southington,2023,Pedestrian/Cyclist/Other,1
Southington,2024,Driver/Passenger,1
Southington,2024,Pedestrian/Cyclist/Other,1
Southington,2025,Driver/Passenger,2
Southington,2025,Pedestrian/Cyclist/Other,1
Sprague,2017,Driver/Passenger,1
Sprague,2019,Driver/Passenger,2
Stafford,2016,Driver/Passenger,2
Stafford,2017,Driver/Passenger,1
Stafford,2022,Driver/Passenger,4
Stafford,2022,Pedestrian/Cyclist/Other,1
Stafford,2023,Driver/Passenger,1
Stamford,2015,Driver/Passenger,2
Stamford,2015,Pedestrian/Cyclist/Other,1
Stamford,2016,Driver/Passenger,1
Stamford,2016,Pedestrian/Cyclist/Other,4
Stamford,2017,Driver/Passenger,7
Stamford,2017,Pedestrian/Cyclist/Other,2
Stamford,2018,Driver/Passenger,4
Stamford,2018,Pedestrian/Cyclist/Other,2
Stamford,2019,Driver/Passenger,2
Stamford,2019,Pedestrian/Cyclist/Other,1
Stamford,2020,Driver/Passenger,1
Stamford,2020,Pedestrian/Cyclist/Other,2
Stamford,2021,Driver/Passenger,3
Stamford,2022,Driver/Passenger,5
Stamford,2022,Pedestrian/Cyclist/Other,5
Stamford,2023,Driver/Passenger,8
Stamford,2023,Pedestrian/Cyclist/Other,4
Stamford,2024,Driver/Passenger,5
Stamford,2024,Pedestrian/Cyclist/Other,1
Stamford,2025,Pedestrian/Cyclist/Other,1
Sterling,2016,Driver/Passenger,1
Sterling,2019,Driver/Passenger,1
Sterling,2025,Driver/Passenger,1
Sterling,2025,Pedestrian/Cyclist/Other,1
Stonington,2015,Driver/Passenger,3
Stonington,2016,Pedestrian/Cyclist/Other,1
Stonington,2017,Driver/Passenger,2
Stonington,2018,Driver/Passenger,2
Stonington,2019,Driver/Passenger,2
Stonington,2019,Pedestrian/Cyclist/Other,2
Stonington,2020,Driver/Passenger,1
Stonington,2021,Driver/Passenger,2
Stonington,2022,Driver/Passenger,5
Stonington,2022,Pedestrian/Cyclist/Other,1
Stonington,2023,Driver/Passenger,1
Stonington,2023,Pedestrian/Cyclist/Other,1
Stonington,2024,Driver/Passenger,1
Stonington,2025,Driver/Passenger,1
Stratford,2015,Driver/Passenger,3
Stratford,2016,Driver/Passenger,5
Stratford,2017,Driver/Passenger,3
Stratford,2017,Pedestrian/Cyclist/Other,1
Stratford,2018,Driver/Passenger,3
Stratford,2019,Driver/Passenger,2
Stratford,2019,Pedestrian/Cyclist/Other,2
Stratford,2020,Driver/Passenger,2
Stratford,2020,Pedestrian/Cyclist/Other,1
Stratford,2021,Driver/Passenger,2
Stratford,2022,Driver/Passenger,3
Stratford,2023,Driver/Passenger,3
Stratford,2023,Pedestrian/Cyclist/Other,4
Stratford,2024,Driver/Passenger,5
Stratford,2025,Driver/Passenger,5
Stratford,2025,Pedestrian/Cyclist/Other,1
Suffield,2015,Driver/Passenger,3
Suffield,2018,Driver/Passenger,2
Suffield,2018,Pedestrian/Cyclist/Other,1
Suffield,2019,Driver/Passenger,3
Suffield,2021,Driver/Passenger,1
Suffield,2022,Driver/Passenger,3
Suffield,2024,Driver/Passenger,3
Suffield,2025,Driver/Passenger,1
Thomaston,2015,Driver/Passenger,1
Thomaston,2017,Driver/Passenger,1
Thomaston,2018,Driver/Passenger,2
Thomaston,2020,Driver/Passenger,1
Thomaston,2021,Driver/Passenger,1
Thomaston,2022,Driver/Passenger,1
Thomaston,2022,Pedestrian/Cyclist/Other,1
Thomaston,2024,Driver/Passenger,1
Thomaston,2025,Driver/Passenger,2
Thomaston,2025,Pedestrian/Cyclist/Other,1
Thompson,2015,Driver/Passenger,4
Thompson,2018,Driver/Passenger,1
Thompson,2019,Driver/Passenger,1
Thompson,2020,Driver/Passenger,2
Thompson,2022,Driver/Passenger,6
Thompson,2022,Pedestrian/Cyclist/Other,1
Thompson,2023,Driver/Passenger,1
Thompson,2025,Driver/Passenger,1
Tolland,2015,Pedestrian/Cyclist/Other,1
Tolland,2016,Driver/Passenger,1
Tolland,2018,Driver/Passenger,4
Tolland,2019,Driver/Passenger,1
Tolland,2020,Driver/Passenger,2
Tolland,2021,Driver/Passenger,4
Tolland,2022,Driver/Passenger,1
Tolland,2023,Driver/Passenger,4
Tolland,2024,Driver/Passenger,1
Tolland,2025,Driver/Passenger,2
Torrington,2015,Driver/Passenger,2
Torrington,2015,Pedestrian/Cyclist/Other,2
Torrington,2016,Driver/Passenger,1
Torrington,2017,Driver/Passenger,1
Torrington,2017,Pedestrian/Cyclist/Other,1
Torrington,2018,Driver/Passenger,2
Torrington,2019,Driver/Passenger,3
Torrington,2020,Driver/Passenger,3
Torrington,2021,Driver/Passenger,5
Torrington,2022,Driver/Passenger,6
Torrington,2023,Driver/Passenger,3
Torrington,2023,Pedestrian/Cyclist/Other,1
Torrington,2024,Driver/Passenger,1
Trumbull,2015,Driver/Passenger,2
Trumbull,2016,Driver/Passenger,4
Trumbull,2017,Driver/Passenger,1
Trumbull,2018,Driver/Passenger,2
Trumbull,2019,Driver/Passenger,3
Trumbull,2019,Pedestrian/Cyclist/Other,1
Trumbull,2020,Driver/Passenger,4
Trumbull,2020,Pedestrian/Cyclist/Other,2
Trumbull,2021,Driver/Passenger,5
Trumbull,2022,Driver/Passenger,6
Trumbull,2023,Driver/Passenger,1
Trumbull,2024,Driver/Passenger,5
Trumbull,2024,Pedestrian/Cyclist/Other,1
Trumbull,2025,Pedestrian/Cyclist/Other,1
Union,2016,Driver/Passenger,1
Union,2017,Driver/Passenger,2
Union,2018,Driver/Passenger,1
Union,2020,Driver/Passenger,3
Union,2024,Driver/Passenger,2
Vernon,2015,Driver/Passenger,1
Vernon,2016,Driver/Passenger,1
Vernon,2017,Driver/Passenger,1
Vernon,2018,Driver/Passenger,2
Vernon,2018,Pedestrian/Cyclist/Other,1
Vernon,2019,Driver/Passenger,3
Vernon,2020,Driver/Passenger,3
Vernon,2020,Pedestrian/Cyclist/Other,2
Vernon,2021,Driver/Passenger,2
Vernon,2022,Driver/Passenger,1
Vernon,2023,Driver/Passenger,3
Vernon,2023,Pedestrian/Cyclist/Other,1
Vernon,2024,Driver/Passenger,2
Vernon,2024,Pedestrian/Cyclist/Other,1
Voluntown,2016,Driver/Passenger,1
Voluntown,2017,Driver/Passenger,1
Voluntown,2019,Driver/Passenger,2
Voluntown,2024,Driver/Passenger,1
Voluntown,2025,Driver/Passenger,1
Wallingford,2015,Driver/Passenger,2
Wallingford,2016,Driver/Passenger,3
Wallingford,2017,Driver/Passenger,3
Wallingford,2017,Pedestrian/Cyclist/Other,1
Wallingford,2018,Driver/Passenger,4
Wallingford,2018,Pedestrian/Cyclist/Other,1
Wallingford,2019,Driver/Passenger,1
Wallingford,2019,Pedestrian/Cyclist/Other,1
Wallingford,2020,Driver/Passenger,4
Wallingford,2020,Pedestrian/Cyclist/Other,1
Wallingford,2021,Driver/Passenger,4
Wallingford,2022,Driver/Passenger,5
Wallingford,2022,Pedestrian/Cyclist/Other,2
Wallingford,2023,Driver/Passenger,2
