town,year,group,total_crashes,fatal_crashes,injury_or_fatal_crashes
Berlin,2023,Driver/Passenger,705,3,206
Berlin,2023,Pedestrian/Cyclist/Other,4,1,4
Berlin,2024,Driver/Passenger,688,3,192
Berlin,2024,Pedestrian/Cyclist/Other,6,1,6
Berlin,2025,Driver/Passenger,713,1,181
Berlin,2025,Pedestrian/Cyclist/Other,2,0,2
Bethany,2015,Driver/Passenger,101,1,33
Bethany,2015,Pedestrian/Cyclist/Other,3,1,3
Bethany,2016,Driver/Passenger,100,0,31
Bethany,2017,Driver/Passenger,101,2,43
Bethany,2018,Driver/Passenger,113,1,35
Bethany,2018,Pedestrian/Cyclist/Other,1,1,1
Bethany,2019,Driver/Passenger,93,0,42
Bethany,2019,Pedestrian/Cyclist/Other,1,1,1
Bethany,2020,Driver/Passenger,71,0,18
Bethany,2021,Driver/Passenger,89,3,34
Bethany,2021,Pedestrian/Cyclist/Other,2,1,2
Bethany,2022,Driver/Passenger,106,0,26
Bethany,2022,Pedestrian/Cyclist/Other,2,0,2
Bethany,2023,Driver/Passenger,107,1,25
Bethany,2023,Pedestrian/Cyclist/Other,1,0,1
Bethany,2024,Driver/Passenger,109,0,33
Bethany,2025,Driver/Passenger,99,0,31
Bethany,2025,Pedestrian/Cyclist/Other,1,0,0
Bethel,2015,Driver/Passenger,652,0,99
Bethel,2015,Pedestrian/Cyclist/Other,4,0,3
Bethel,2016,Driver/Passenger,589,1,98
Bethel,2016,Pedestrian/Cyclist/Other,9,0,6
Bethel,2017,Driver/Passenger,548,0,105
Bethel,2017,Pedestrian/Cyclist/Other,5,0,4
Bethel,2018,Driver/Passenger,476,0,100
Bethel,2018,Pedestrian/Cyclist/Other,8,1,6
Bethel,2019,Driver/Passenger,468,0,74
Bethel,2019,Pedestrian/Cyclist/Other,6,0,5
Bethel,2020,Driver/Passenger,338,1,57
Bethel,2020,Pedestrian/Cyclist/Other,9,0,7
Bethel,2021,Driver/Passenger,458,0,66
Bethel,2021,Pedestrian/Cyclist/Other,8,0,7
Bethel,2022,Driver/Passenger,423,0,67
Bethel,2022,Pedestrian/Cyclist/Other,7,1,6
Bethel,2023,Driver/Passenger,434,0,92
Bethel,2023,Pedestrian/Cyclist/Other,5,0,4
Bethel,2024,Driver/Passenger,406,0,77
Bethel,2024,Pedestrian/Cyclist/Other,4,0,3
Bethel,2025,Driver/Passenger,447,0,86
Bethel,2025,Pedestrian/Cyclist/Other,4,1,4
Bethlehem,2015,Driver/Passenger,36,1,9
Bethlehem,2016,Driver/Passenger,23,0,6
Bethlehem,2016,Pedestrian/Cyclist/Other,1,0,1
Bethlehem,2017,Driver/Passenger,35,0,11
Bethlehem,2017,Pedestrian/Cyclist/Other,1,0,1
Bethlehem,2018,Driver/Passenger,36,0,7
