town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
Bloomfield,2014,Pedestrian/vehicle,9,1,7
Bloomfield,2014,Vehicle/vehicle,579,3,146
Bolton,2010,Pedestrian/vehicle,1,0,1
Bolton,2010,Vehicle/vehicle,131,1,34
Bolton,2011,Vehicle/vehicle,114,3,43
Bolton,2012,Cyclist/vehicle,1,0,1
Bolton,2012,Vehicle/vehicle,121,0,29
Bolton,2013,Pedestrian/vehicle,1,0,1
Bolton,2013,Vehicle/vehicle,131,0,30
Bolton,2014,Cyclist/vehicle,1,0,1
Bolton,2014,Pedestrian/vehicle,1,0,1
Bolton,2014,Vehicle/vehicle,96,2,25
Bozrah,2010,Cyclist/vehicle,1,0,1
Bozrah,2010,Vehicle/vehicle,73,0,16
Bozrah,2011,Vehicle/vehicle,40,0,13
Bozrah,2012,Pedestrian/vehicle,1,0,1
Bozrah,2012,Vehicle/vehicle,72,1,18
Bozrah,2013,Vehicle/vehicle,58,0,7
Bozrah,2014,Vehicle/vehicle,50,1,7
Branford,2010,Cyclist/vehicle,9,0,9
Branford,2010,Pedestrian/vehicle,8,0,6
Branford,2010,Vehicle/vehicle,784,2,203
Branford,2011,Cyclist/vehicle,4,0,4
Branford,2011,Pedestrian/vehicle,11,0,10
Branford,2011,Vehicle/vehicle,703,0,190
Branford,2012,Cyclist/vehicle,8,0,7
Branford,2012,Pedestrian/vehicle,6,0,3
Branford,2012,Vehicle/vehicle,767,0,194
Branford,2013,Cyclist/vehicle,6,0,5
Branford,2013,Pedestrian/vehicle,8,0,8
Branford,2013,Vehicle/vehicle,780,2,177
Branford,2014,Cyclist/vehicle,5,0,5
Branford,2014,Pedestrian/vehicle,8,0,8
Branford,2014,Vehicle/vehicle,699,1,189
Bridgeport,2010,Cyclist/vehicle,46,2,41
Bridgeport,2010,Pedestrian/vehicle,108,0,105
Bridgeport,2010,Vehicle/vehicle,4547,6,1167
Bridgeport,2011,Cyclist/vehicle,46,0,45
Bridgeport,2011,Pedestrian/vehicle,91,4,89
Bridgeport,2011,Vehicle/vehicle,3037,3,1142
Bridgeport,2012,Cyclist/vehicle,46,0,42
Bridgeport,2012,Pedestrian/vehicle,101,3,98
Bridgeport,2012,Vehicle/vehicle,4210,0,1118
Bridgeport,2013,Cyclist/vehicle,48,0,42
Bridgeport,2013,Pedestrian/vehicle,108,1,104
Bridgeport,2013,Vehicle/vehicle,4333,6,1178
Bridgeport,2014,Cyclist/vehicle,50,0,43
Bridgeport,2014,Pedestrian/vehicle,100,3,93
Bridgeport,2014,Vehicle/vehicle,4411,6,1138
Bridgewater,2010,Vehicle/vehicle,35,0,11
Bridgewater,2011,Vehicle/vehicle,26,0,11
Bridgewater,2012,Cyclist/vehicle,1,0,1
Bridgewater,2012,Vehicle/vehicle,25,0,11
Bridgewater,2013,Cyclist/vehicle,1,0,1
Bridgewater,2013,Pedestrian/vehicle,1,0,1
Bridgewater,2013,Vehicle/vehicle,21,0,3
Bridgewater,2014,Vehicle/vehicle,24,0,7
Bristol,2010,Cyclist/vehicle,21,0,14
