town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
Berlin,2015,Vehicle/vehicle,693,1,153
Berlin,2016,Cyclist/vehicle,1,0,1
Berlin,2016,Pedestrian/vehicle,3,0,2
Berlin,2016,Vehicle/vehicle,734,1,184
Berlin,2017,Cyclist/vehicle,1,0,1
Berlin,2017,Pedestrian/vehicle,3,0,2
Berlin,2017,Vehicle/vehicle,721,2,173
Berlin,2018,Cyclist/vehicle,1,0,1
Berlin,2018,Pedestrian/vehicle,4,0,1
Berlin,2018,Vehicle/vehicle,766,0,203
Berlin,2019,Cyclist/vehicle,1,0,1
Berlin,2019,Pedestrian/vehicle,9,2,7
Berlin,2019,Vehicle/vehicle,734,0,202
Berlin,2020,Pedestrian/vehicle,1,0,1
Berlin,2020,Vehicle/vehicle,559,0,150
Berlin,2021,Cyclist/vehicle,5,0,5
Berlin,2021,Pedestrian/vehicle,4,0,3
Berlin,2021,Vehicle/vehicle,646,5,173
Berlin,2022,Cyclist/vehicle,2,1,2
Berlin,2022,Pedestrian/vehicle,3,0,3
Berlin,2022,Vehicle/vehicle,651,2,172
Berlin,2023,Cyclist/vehicle,1,0,1
Berlin,2023,Pedestrian/vehicle,3,1,3
Berlin,2023,Vehicle/vehicle,705,3,206
Berlin,2024,Cyclist/vehicle,1,0,1
Berlin,2024,Pedestrian/vehicle,5,1,5
Berlin,2024,Vehicle/vehicle,688,3,192
Berlin,2025,Cyclist/vehicle,1,0,1
Berlin,2025,Pedestrian/vehicle,1,0,1
Berlin,2025,Vehicle/vehicle,713,1,181
Bethany,2015,Cyclist/vehicle,1,0,1
Bethany,2015,Pedestrian/vehicle,2,1,2
Bethany,2015,Vehicle/vehicle,101,1,33
Bethany,2016,Vehicle/vehicle,100,0,31
Bethany,2017,Vehicle/vehicle,101,2,43
Bethany,2018,Pedestrian/vehicle,1,1,1
Bethany,2018,Vehicle/vehicle,113,1,35
Bethany,2019,Pedestrian/vehicle,1,1,1
Bethany,2019,Vehicle/vehicle,93,0,42
Bethany,2020,Vehicle/vehicle,71,0,18
Bethany,2021,Pedestrian/vehicle,2,1,2
Bethany,2021,Vehicle/vehicle,89,3,34
Bethany,2022,Cyclist/vehicle,1,0,1
Bethany,2022,Pedestrian/vehicle,1,0,1
Bethany,2022,Vehicle/vehicle,106,0,26
Bethany,2023,Pedestrian/vehicle,1,0,1
Bethany,2023,Vehicle/vehicle,107,1,25
Bethany,2024,Vehicle/vehicle,109,0,33
Bethany,2025,Pedestrian/vehicle,1,0,0
Bethany,2025,Vehicle/vehicle,99,0,31
Bethel,2015,Cyclist/vehicle,1,0,1
Bethel,2015,Pedestrian/vehicle,3,0,2
Bethel,2015,Vehicle/vehicle,652,0,99
Bethel,2016,Cyclist/vehicle,4,0,2
Bethel,2016,Pedestrian/vehicle,5,0,4
Bethel,2016,Vehicle/vehicle,589,1,98
Bethel,2017,Cyclist/vehicle,2,0,1
Bethel,2017,Pedestrian/vehicle,3,0,3
Bethel,2017,Vehicle/vehicle,548,0,105
Bethel,2018,Cyclist/vehicle,1,0,1
Bethel,2018,Pedestrian/vehicle,7,1,5
Bethel,2018,Vehicle/vehicle,476,0,100
Bethel,2019,Cyclist/vehicle,2,0,2
Bethel,2019,Pedestrian/vehicle,4,0,3
Bethel,2019,Vehicle/vehicle,468,0,74
Bethel,2020,Cyclist/vehicle,4,0,3
Bethel,2020,Pedestrian/vehicle,5,0,4
Bethel,2020,Vehicle/vehicle,338,1,57
Bethel,2021,Cyclist/vehicle,1,0,1
Bethel,2021,Pedestrian/vehicle,7,0,6
Bethel,2021,Vehicle/vehicle,458,0,66
Bethel,2022,Pedestrian/vehicle,7,1,6
Bethel,2022,Vehicle/vehicle,423,0,67
Bethel,2023,Cyclist/vehicle,2,0,1
Bethel,2023,Pedestrian/vehicle,3,0,3
Bethel,2023,Vehicle/vehicle,434,0,92
Bethel,2024,Cyclist/vehicle,1,0,0
Bethel,2024,Pedestrian/vehicle,3,0,3
Bethel,2024,Vehicle/vehicle,406,0,77
Bethel,2025,Pedestrian/vehicle,4,1,4
Bethel,2025,Vehicle/vehicle,447,0,86
Bethlehem,2015,Vehicle/vehicle,36,1,9
Bethlehem,2016,Pedestrian/vehicle,1,0,1
Bethlehem,2016,Vehicle/vehicle,23,0,6
Bethlehem,2017,Cyclist/vehicle,1,0,1
Bethlehem,2017,Vehicle/vehicle,35,0,11
Bethlehem,2018,Vehicle/vehicle,36,0,7
Bethlehem,2019,Vehicle/vehicle,29,2,7
Bethlehem,2020,Vehicle/vehicle,34,0,12
Bethlehem,2021,Vehicle/vehicle,29,0,10
Bethlehem,2022,Vehicle/vehicle,35,0,8
Bethlehem,2023,Vehicle/vehicle,39,0,8
Bethlehem,2024,Vehicle/vehicle,32,0,12
Bethlehem,2025,Cyclist/vehicle,1,0,1
Bethlehem,2025,Vehicle/vehicle,28,0,11
Bloomfield,2015,Vehicle/vehicle,669,3,181
Bloomfield,2016,Cyclist/vehicle,1,0,0
Bloomfield,2016,Pedestrian/vehicle,2,0,2
Bloomfield,2016,Vehicle/vehicle,689,3,175
Bloomfield,2017,Cyclist/vehicle,1,0,1
Bloomfield,2017,Pedestrian/vehicle,12,1,12
Bloomfield,2017,Vehicle/vehicle,696,1,190
Bloomfield,2018,Cyclist/vehicle,1,0,1
Bloomfield,2018,Pedestrian/vehicle,8,0,8
Bloomfield,2018,Vehicle/vehicle,733,1,209
Bloomfield,2019,Cyclist/vehicle,3,0,3
Bloomfield,2019,Pedestrian/vehicle,3,0,3
Bloomfield,2019,Vehicle/vehicle,800,2,200
Bloomfield,2020,Cyclist/vehicle,1,0,0
Bloomfield,2020,Pedestrian/vehicle,4,0,3
Bloomfield,2020,Vehicle/vehicle,546,1,142
Bloomfield,2021,Cyclist/vehicle,1,0,1
Bloomfield,2021,Pedestrian/vehicle,7,0,7
Bloomfield,2021,Vehicle/vehicle,638,1,166
Bloomfield,2022,Cyclist/vehicle,2,0,1
Bloomfield,2022,Pedestrian/vehicle,7,0,7
Bloomfield,2022,Vehicle/vehicle,677,1,176
Bloomfield,2023,Cyclist/vehicle,1,0,1
Bloomfield,2023,Pedestrian/vehicle,8,1,8
Bloomfield,2023,Vehicle/vehicle,674,2,196
Bloomfield,2024,Cyclist/vehicle,1,0,1
Bloomfield,2024,Pedestrian/vehicle,5,0,5
Bloomfield,2024,Vehicle/vehicle,607,1,147
Bloomfield,2025,Cyclist/vehicle,3,0,1
Bloomfield,2025,Pedestrian/vehicle,7,1,6
Bloomfield,2025,Vehicle/vehicle,639,0,155
Bolton,2015,Vehicle/vehicle,103,1,29
Bolton,2016,Vehicle/vehicle,116,1,32
Bolton,2017,Vehicle/vehicle,112,0,21
Bolton,2018,Vehicle/vehicle,111,3,29
Bolton,2019,Vehicle/vehicle,98,0,23
Bolton,2020,Cyclist/vehicle,1,0,1
Bolton,2020,Pedestrian/vehicle,1,0,1
Bolton,2020,Vehicle/vehicle,52,1,18
Bolton,2021,Vehicle/vehicle,79,1,28
Bolton,2022,Cyclist/vehicle,1,0,1
Bolton,2022,Vehicle/vehicle,70,0,21
Bolton,2023,Pedestrian/vehicle,1,0,1
Bolton,2023,Vehicle/vehicle,69,0,20
Bolton,2024,Vehicle/vehicle,94,1,25
Bolton,2025,Vehicle/vehicle,94,0,23
Bozrah,2015,Vehicle/vehicle,55,1,17
Bozrah,2016,Pedestrian/vehicle,1,0,1
Bozrah,2016,Vehicle/vehicle,55,0,13
Bozrah,2017,Vehicle/vehicle,71,0,19
Bozrah,2018,Vehicle/vehicle,50,0,10
Bozrah,2019,Pedestrian/vehicle,1,0,1
Bozrah,2019,Vehicle/vehicle,53,0,14
Bozrah,2020,Cyclist/vehicle,1,0,1
Bozrah,2020,Vehicle/vehicle,42,0,10
Bozrah,2021,Vehicle/vehicle,49,0,18
Bozrah,2022,Vehicle/vehicle,47,0,13
Bozrah,2023,Cyclist/vehicle,1,0,1
Bozrah,2023,Vehicle/vehicle,57,0,16
